taxon	file	size_bytes	sha256
Branchiostoma	md.tpr	8034124	55e0e2e0ec31b693afc829dc076be6bb641afac69aa93a57dd2cb000cd2de865
Branchiostoma	md.xtc	1012242872	d107c41195355759166d57e56677e4d27b0deeafcf37b0b4c29b32c811599bf2
Branchiostoma	myht.fa	103	8ebe5f6d492f14ddf6143a45c259f93fefae29704d39df0dca45dc3ea622decf
Branchiostoma	myht.out	2003	1b76a060d42d64b4ea8be24534237e4c7504afcaabe043cf8647684cd9fcbf4a
Ciona	md.tpr	6766556	c98dca063b35b7a8491bd7940a9aeabb91702100dda0f4d2017079abdc2bf435
Ciona	md.xtc	809178308	8f0439c36f11dadc3ed64f5a0b3220b4eed66421d604b39f6e1d631ff16b1f76
Ciona	myht.fa	99	48703b55bdfa9eca6068373ac7665708f2f4d2a4bb76dd5a101fb009ea83c4db
Ciona	myht.out	1977	cf25e15a56148592a1ea8f2340b1695a99effb7b8042fda1fa36ef4cfde21a7a
Clytia	md.tpr	5581520	9509bcd39f6a7d2d143c2aff284ddb96f414125ae9003a88887bb4c29b9400b5
Clytia	md.xtc	633722392	4518d4f4f635e8f560915fd4f286df4a5f8fdbf4cc539f289d53331aa72fa9b1
Clytia	myht.fa	82	4612ab63c950d6c71e9e79feb18c1687fa65c0d373f31cbf5ef98f3165202813
Clytia	myht.out	1561	9b2e0a47ebd90ed638e062ae5a24b69fd633bf41aa141de4b5d8c02faec5f02c
Eisenia	md.tpr	4282304	3c8f3487cc8371777295a085ab6465321b696b2b4b677a586cc6d02356f7515e
Eisenia	md.xtc	449110208	f95ce4c0575e6fb571a418040786868753c35fbb26800f3335bf3b7f2014569a
Eisenia	myht.fa	71	d6ef35eb4371b5794a7c0e0f850d42e548114a8f73c97646f674747928c5ee66
Eisenia	myht.out	1405	ca67a9892e57e2669af81b849ea6a3ac79d310599ef6d816112b03b06622a371
Euglena	md.tpr	6163268	794cb69c33c6d7987a75fec294cefb812f0c4cf323c6c7c6acd8b534ca307358
Euglena	md.xtc	754630032	ea7a68736bb57f73f8898d007f7a7547c934ec424538062ffa2a9eaf3de3f0d0
Euglena	myht.fa	86	a10fad805aa305b99161c75ccc52919947e9c3afcb6c5c1f88354be245e51005
Euglena	myht.out	1795	3cf2d74f45cc9ba5ce8cd386d5a87d0edcff3fa5c3ba12ca0c34db7d88769a69
Euperipatoides	md.tpr	7673480	697b7818fe128bf6b6b1fba744114babdca802f65c987f7fddb2aabde12b8b9f
Euperipatoides	md.xtc	951140804	120a2e326cd77d400d0104bc61568d352a4df3374c5c3d79b0125626560510b1
Euperipatoides	myht.fa	103	7be613a5bc208b1f6b4206ae6eb54f84bae6a21fd1df21091a19ac1de5dc4034
Euperipatoides	myht.out	2003	e555b7486dec2f98333301e77ee44ec5a0a9162affbf968346aba4beb2aa33aa
Eutreptiella	md.tpr	6040924	ac6ee21d22e4e79605d5ecf07c7a31800933446e250054279cd8f4e2425ab8dc
Eutreptiella	md.xtc	736983092	47fe3a9ffe4180e27948d729a47f8c2523469494b4a061295780474a0b087f1e
Eutreptiella	myht.fa	97	6ac8d367e756484d8c0bf32681b239aac2e24e16a208b1a75de4d22226221da3
Eutreptiella	myht.out	1821	400cee0d92b116abd49e82aff670aa8f88d0e80925818fa1c12fdba5b2d08732
Hahella	md.tpr	2633376	5973c3c3f5399801e5c5e8d0f43a20992286ab98be07e0e1edc85e5db654c0f5
Hahella	md.xtc	260581832	95acfe1fa079373a8f33dc0c5f2a9ea0b9c9d68108d69a205b1175821375790a
Hahella	myht.fa	62	4422c37f6001846bef6b0fa57501e172a79ad7e46465fd467f7980a4410dd3b5
Hahella	myht.out	1067	a22934916701fd725fe6fa57ed48e8563c978622e4990c77c340f05017a91078
Haliotis	md.tpr	6060088	0dc2080e191d693e33d6c9e4248c4901fd3aeaedada4c5311b7926acbc0b216a
